 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Cargo  | 12.3022635518427
 120-199 | Tanker | 12.1096664739335
 200-299 | Cargo  | 12.8380030403414
 200-299 | Tanker | 12.7458939910637
 300+    | Tanker | 12.7554407323286
 300+    | Cargo  |  15.240772906267
(6 rows)

