 length  |  type  |    avg_speed     
---------+--------+------------------
 120-199 | Tanker | 12.1212739106881
 120-199 | Cargo  | 12.3203111430024
 200-299 | Cargo  | 12.8436624361945
 200-299 | Tanker |  12.761269047642
 300+    | Cargo  | 15.2699546965748
 300+    | Tanker | 12.9567761970452
(6 rows)

